drug,dose,admin,gene,time,method,brain,muscle,colon,caecum,intestines,stomach,liver,kidney,lungs,spleen,heart,ovary,uterus,breast,testes,gall,fat.neck,fat.organ,epododumis,thymus,lymph,penis,brain.Cu
Abermaciclib,5,IV,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Abermaciclib,10,PO,TKO,24,LC-MS,44.0172646,,,,,,,,,,,,,,,,,,,,,,
Abermaciclib,10,PO,WT,24,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Afatinib,10,PO,abcb1a -/-,2,LC-MS,1.593137254,,,,,,0.937500004,,,,,,,,,,,,,,,,
Afatinib,10,PO,abcg2 -/-,2,LC-MS,0.849673202,,,,,,1.306666673,,,,,,,,,,,,,,,,
Afatinib,10,PO,TKO,2,LC-MS,27.58672699,,,,,,1.103846152,,,,,,,,,,,,,,,,
Afatinib,10,PO,WT,2,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Afatinib,10,PO,abcb1a -/-,24,LC-MS,1.807813187,,,,,,0.997818971,,,,,,,,,,,,,,,,
Afatinib,10,PO,abcg2 -/-,24,LC-MS,2.011130663,,,,,,12.90618759,,,,,,,,,,,,,,,,
Afatinib,10,PO,TKO,24,LC-MS,389.6159579,,,,,,92.08223174,,,,,,,,,,,,,,,,
Afatinib,10,PO,WT,24,LC-MS,1,,,,,,1,,,,,,,,,,,,,,,,
Aripiprazole,2,IP,abcb1a -/-,1,HPLC,2.118032787,4.022265038,,,,,,,,,,,,,2.005893465,,,,,,,,
Aripiprazole,2,IP,WT,1,HPLC,1,1,,,,,,,,,,,,,1,,,,,,,,
Aripiprazole,2,IP,abcb1a -/-,2,HPLC,3.50688705,1.6625,,,,,,,,,,,,,1.214545455,,,,,,,,
Aripiprazole,2,IP,WT,2,HPLC,1,1,,,,,,,,,,,,,1,,,,,,,,
Aripiprazole,2,IP,abcb1a -/-,3,HPLC,2.731904886,2.167878386,,,,,,,,,,,,,2.09273806,,,,,,,,
Aripiprazole,2,IP,WT,3,HPLC,1,1,,,,,,,,,,,,,1,,,,,,,,
Axtinib,10,PO,abcb1a -/-,1,LC-MS,7.34315783,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,abcg2 -/-,1,LC-MS,0.495454537,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,TKO,1,LC-MS,15.25999988,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,WT,1,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,abcb1a -/-,4,LC-MS,5.314770603,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,abcg2 -/-,4,LC-MS,0.669235485,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,TKO,4,LC-MS,22.54982122,,,,,,,,,,,,,,,,,,,,,,
Axtinib,10,PO,WT,4,LC-MS,1,,,,,,,,,,,,,,,,,,,,,,
AZD1775,20,IV,abcb1a -/-,1,LC-MS,3.508928571,,,,,,,,,,,,,,,,,,,,,,
AZD1775,20,IV,abcg2 -/-,1,LC-MS,0.5,,,,,,,,,,,,,,,,,,,,,,
